street_id,street_prefix,street_name,terittory_id
_ul1150,UL.,PAWIA,15832
_ul1151,UL.,PAWŁA,15858
_ul1152,UL.,PAWŁOWICKA,15868
_ul1153,UL.,PEDAGOGICZNA,15907
_ul1154,UL.,PEŁCZYŃSKA,15922
_ul1155,UL.,PERZOWA,15962
_ul1156,WYSPA,PIASEK,16024
_ul1157,UL.,PIASKOWA,16033
_ul1158,UL.,PIASTOWSKA,16046
_ul1159,AL.,PIASTÓW,16054
_ul1160,UL.,PIECHOTY,16079
_ul1161,UL.,PIECHOWICKA,16082
_ul1162,UL.,PIEKARSKA,16111
_ul1163,UL.,PIELĘGNIARSKA,16120
_ul1164,UL.,PIENIŃSKA,16132
_ul1165,UL.,PIEPRZNA,16140
_ul1166,UL.,PIERWIOSNKOWA,16150
_ul1167,UL.,PIERWSZEJ DYWIZJI,16156
_ul1168,UL.,PIESZA,16164
_ul1169,UL.,PIESZYCKA,16166
_ul1170,UL.,PIETRZYKOWICKA,16184
_ul1171,UL.,PIĘĆDZIESIĘCIU BOHATERÓW,16189
_ul1172,UL.,PIĘKNA,16191
_ul1173,UL.,PILCZYCKA,16221
_ul1174,UL.,PILNIKARSKA,16235
_ul1175,UL.,PIŁAWSKA,16245
_ul1176,UL.,PIŁKARZY,16247
_ul1177,UL.,PIOŁUNOWA,16288
_ul1178,UL.,PIONIERÓW,16290
_ul1179,SKWER,PIONIERÓW WROCŁAWSKICH,47134
_ul1180,UL.,PIONIERSKA,16297
_ul1181,UL.,PIOTRKOWSKA,16308
_ul1182,UL.,PIRENEJSKA,16333
_ul1183,UL.,PIWNA,16370
_ul1184,UL.,PIWNICZNA,16371
_ul1185,UL.,SZAFIROWA,21712
_ul1186,UL.,JAGLANA,07048
_ul1187,UL.,JAROSŁAWSKA,07264
_ul1188,UL.,LASKOWICKA,10667
_ul1189,UL.,WIERUSZOWSKA,24153
_ul1190,UL.,ŻYTOMIERSKA,26636
_ul1191,UL.,SREBRNOGÓRSKA,34086
_ul1192,UL.,JELCZAŃSKA,07453
_ul1193,UL.,LUBIĄSKA,40673
_ul1194,UL.,NADOLICKA,40675
_ul1195,UL.,PROCHOWICKA,40674
_ul1196,UL.,CEDROWA,02566
_ul1197,UL.,SIKORCZA,19894
_ul1198,UL.,SIOSTRZANA,19932
_ul1199,UL.,SKAŁECZNA,19982
_ul1200,UL.,SKARBOWCÓW,20004
_ul1201,UL.,SKARBU ZAKRZOWSKIEGO,20006
_ul1202,UL.,SKIBOWA,20043
_ul1203,UL.,SKIERNIEWICKA,20052
_ul1204,UL.,SKŁADOWA,20060
_ul1205,UL.,SKOCZNA,20071
_ul1206,UL.,SMOLNA,20369
_ul1207,UL.,SNOPKOWA,20402
_ul1208,UL.,SKRAJNA,20137
_ul1209,UL.,SNYCERSKA,20406
_ul1210,UL.,SOBIESZOWSKA,20439
_ul1211,UL.,SOBOCIŃSKA,20445
_ul1212,UL.,SKRZYDLATA,20158
_ul1213,UL.,SOBÓTKI,20459
_ul1214,UL.,SOCHACZEWSKA,20463
_ul1215,UL.,SOJOWA,20474
_ul1216,UL.,SKWEROWA,20187
_ul1217,UL.,SOKOLA,20478
_ul1218,UL.,SKWIERZYŃSKA,20189
_ul1219,UL.,SOKOLNICZA,20491
_ul1220,WYSPA,SŁODOWA,20226
_ul1221,PL.,SOLIDARNOŚCI,20530
_ul1222,UL.,SŁOMIANA,20235
_ul1223,UL.,ŚWINOUJSKA,22566
_ul1224,UL.,SŁONECZNA,20254
_ul1225,UL.,ŚWIT,22576
_ul1226,UL.,TALLIŃSKA,22611
_ul1227,BULW.,SŁONECZNY,20261
_ul1228,WYSPA,TAMKA,22623
_ul1229,UL.,SŁOTNA,20279
_ul1230,UL.,TAPICERSKA,22636
_ul1231,UL.,SŁOWACKA,20282
_ul1232,UL.,TARNINOWA,22672
_ul1233,UL.,SŁOWIAŃSKA,20294
_ul1234,UL.,TARNOBRZESKA,22675
_ul1235,PL.,SŁOWIAŃSKI,20295
_ul1236,UL.,TARNOGAJSKA,22676
_ul1237,UL.,SŁOWICZA,20298
_ul1238,UL.,TARNOGÓRSKA,22677
_ul1239,UL.,TARNOPOLSKA,22679
_ul1240,UL.,SŁUBICKA,20308
_ul1241,UL.,SŁUPSKA,20316
_ul1242,UL.,TARNOWSKA,22681
_ul1243,UL.,TATARAKOWA,22706
_ul1244,UL.,TOROWA,22897
_ul1245,UL.,TATARSKA,22712
_ul1246,UL.,TORUŃSKA,22902
_ul1247,UL.,TOWAROWA,22907
_ul1248,UL.,TRAKTATOWA,22936
_ul1249,UL.,TRAMWAJOWA,22944
_ul1250,UL.,TRAWOWA,22972
_ul1251,UL.,ŚWIĘTEJ TRÓJCY,23017
_ul1252,UL.,TRÓJKĄTNA,23019
_ul1253,UL.,TRUSKAWKOWA,23033
_ul1254,UL.,TRWAŁA,23037
_ul1255,UL.,TRZEBNICKA,23073
_ul1256,UL.,TRZEBOWIAŃSKA,23075
_ul1257,UL.,TRZEMESKA,23091
_ul1258,UL.,TRZMIELOWICKA,23096
_ul1259,UL.,TURECKA,23153
_ul1260,UL.,TURKUSOWA,23160
_ul1261,UL.,TURNIEJOWA,23164
_ul1262,UL.,TUROSZOWSKA,23169
_ul1263,UL.,TURYSTYCZNA,23184
_ul1264,UL.,TWARDA,23200
_ul1265,UL.,TATRZAŃSKA,22717
_ul1266,UL.,TWARDOGÓRSKA,23202
_ul1267,UL.,TYBETAŃSKA,23222
_ul1268,UL.,TYLNA,23240
_ul1269,UL.,TYSKA,23274
_ul1270,UL.,UBOCZE,23289
_ul1271,UL.,UCZNIOWSKA,23299
_ul1272,UL.,UKRAIŃSKA,23328
_ul1273,UL.,UKRYTA,23329
_ul1274,UL.,ULOWA,23337
_ul1275,UL.,UŁAŃSKA,23345
_ul1276,UL.,UNIWERSYTECKA,23375
_ul1277,PL.,UNIWERSYTECKI,23376
_ul1278,UL.,UPALNA,23381
_ul1279,UL.,USTRONIE,23430
_ul1280,UL.,WADOWICKA,23485
_ul1281,UL.,WAFLOWA,23489
_ul1282,UL.,TCZEWSKA,22722
_ul1283,UL.,WAGONOWA,23495
_ul1284,UL.,WALECZNYCH,23527
_ul1285,UL.,WAŁBRZYSKA,23582
